,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,273417,1068,MCXGOLDEX,MCXGOLDEX,0.0,,0.0,0.0,1,EQ,INDICES,MCX
1,57059847,222890,ALUMINIUM20DECFUT,ALUMINIUM,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
2,58072071,226844,ALUMINIUM21APRFUT,ALUMINIUM,0.0,2021-04-30,0.0,0.05,1,FUT,MCX-FUT,MCX
3,57620487,225080,ALUMINIUM21FEBFUT,ALUMINIUM,0.0,2021-02-26,0.0,0.05,1,FUT,MCX-FUT,MCX
4,57446407,224400,ALUMINIUM21JANFUT,ALUMINIUM,0.0,2021-01-29,0.0,0.05,1,FUT,MCX-FUT,MCX
5,57742855,225558,ALUMINIUM21MARFUT,ALUMINIUM,0.0,2021-03-31,0.0,0.05,1,FUT,MCX-FUT,MCX
6,57902343,226181,ALUMINIUMDEC20FEB21FUT,ALUMINIUM,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
7,57746695,225573,ALUMINIUMDEC20JAN21FUT,ALUMINIUM,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
8,57902087,226180,ALUMINIUMJAN21FEB21FUT,ALUMINIUM,0.0,2021-01-29,0.0,0.05,1,FUT,MCX-FUT,MCX
9,57822727,225870,CARDAMOM21APRFUT,CARDAMOM,0.0,2021-04-15,0.0,0.1,1,FUT,MCX-FUT,MCX
10,57489671,224569,CARDAMOM21FEBFUT,CARDAMOM,0.0,2021-02-15,0.0,0.1,1,FUT,MCX-FUT,MCX
11,57374471,224119,CARDAMOM21JANFUT,CARDAMOM,0.0,2021-01-15,0.0,0.1,1,FUT,MCX-FUT,MCX
12,57680135,225313,CARDAMOM21MARFUT,CARDAMOM,0.0,2021-03-15,0.0,0.1,1,FUT,MCX-FUT,MCX
13,57976327,226470,CARDAMOM21MAYFUT,CARDAMOM,0.0,2021-05-14,0.0,0.1,1,FUT,MCX-FUT,MCX
14,57620743,225081,CASTORSEED21FEBFUT,CASTORSEED,0.0,2021-02-19,0.0,1.0,1,FUT,MCX-FUT,MCX
15,57451783,224421,CASTORSEED21JANFUT,CASTORSEED,0.0,2021-01-20,0.0,1.0,1,FUT,MCX-FUT,MCX
16,57743111,225559,CASTORSEED21MARFUT,CASTORSEED,0.0,2021-03-19,0.0,1.0,1,FUT,MCX-FUT,MCX
17,57060359,222892,COPPER20DECFUT,COPPER,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
18,57906183,226196,COPPER21APRFUT,COPPER,0.0,2021-04-30,0.0,0.05,1,FUT,MCX-FUT,MCX
19,57620999,225082,COPPER21FEBFUT,COPPER,0.0,2021-02-26,0.0,0.05,1,FUT,MCX-FUT,MCX
20,57446151,224399,COPPER21JANFUT,COPPER,0.0,2021-01-29,0.0,0.05,1,FUT,MCX-FUT,MCX
21,57743367,225560,COPPER21MARFUT,COPPER,0.0,2021-03-31,0.0,0.05,1,FUT,MCX-FUT,MCX
22,57904135,226188,COPPERDEC20FEB21FUT,COPPER,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
23,57748231,225579,COPPERDEC20JAN21FUT,COPPER,0.0,2020-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
24,57904391,226189,COPPERJAN21FEB21FUT,COPPER,0.0,2021-01-29,0.0,0.05,1,FUT,MCX-FUT,MCX
